Crop,Model,R²,MSE,RMSE,MAE
Gram,XGBoost,0.4623181722677448,0.0526206337433212,0.2293918781110639,0.1534706332575569
Gram,CatBoost,0.4773244004498888,0.051152038011954,0.2261681631263649,0.1500267689547776
Gram,SVM,0.5819179654544153,0.0409159106367284,0.2022768168543505,0.1393197242402657
Gram,MLP,0.5459743932265291,0.0444335551842619,0.2107926829476344,0.1454449817051825
Jute,Random Forest,0.8812891709619111,2.851366485567664,1.688598971208873,1.1876321699157244
Jute,Gradient Boosting,0.8120426362331126,4.514628800954589,2.124765587295358,1.4435925080911232
Jute,XGBoost,0.8640547403738896,3.2653276900737773,1.8070217735472305,1.2100783049033843
Jute,CatBoost,0.8569809117547281,3.4352370236431238,1.853439241961582,1.314169267894762
Jute,SVM,0.8770514623179646,2.953153833030903,1.7184742747655266,1.1946965167677996
Jute,MLP,0.886474381276129,2.726820687763176,1.6513087802598203,1.1819391926450369
Linseed,Random Forest,0.8109925066920015,0.0083790359058637,0.0915370739420029,0.0671686941527608
Linseed,Gradient Boosting,0.7695293216245244,0.0102171721107903,0.1010800282488601,0.0707573723057455
Linseed,XGBoost,0.7912260591356584,0.0092553174273379,0.0962045603250593,0.0676360354329781
Linseed,CatBoost,0.765159160859997,0.0104109090538051,0.1020338622899531,0.0716811999929018
Linseed,SVM,0.840509909664009,0.0070704773137063,0.0840861303290049,0.0588385464135632
Linseed,MLP,0.8520964342213622,0.006556826221937,0.0809742318391294,0.0588528441305928
Maize,Random Forest,0.4109273822078539,2.169279406231048,1.472847380495022,0.632578755820687
Maize,Gradient Boosting,0.1523186181049212,3.1216147368766523,1.7668091965112285,0.9587984020757352
Maize,XGBoost,0.2904931329544304,2.612782514030454,1.6164103792139093,0.5323137645180418
Maize,CatBoost,0.5115769550524105,1.7986340239418843,1.3411316206628954,0.558282707510762
Maize,SVM,0.4707660726208511,1.948921448844965,1.3960377677000595,0.4544916193591182
Maize,MLP,0.4932061031911334,1.8662852937750565,1.3661205268112533,0.6449599969431387
Mesta,Random Forest,0.832752871380057,1.635546447156403,1.2788848451508068,0.7949211978437442
Mesta,Gradient Boosting,0.8250834392764634,1.710547510147712,1.3078790120449644,0.8169255919471524
Mesta,XGBoost,0.784563790452353,2.1067980659638104,1.4514813350380398,0.8705568257172374
