iter	Passed	Remaining
349	978	318
350	981	315
351	983	312
352	986	310
353	990	307
354	991	304
355	993	301
356	996	298
357	998	295
358	1001	292
359	1004	290
360	1006	287
361	1009	284
362	1010	281
363	1012	278
364	1015	275
365	1017	272
366	1020	269
367	1023	267
368	1026	264
369	1028	261
370	1031	258
371	1034	255
372	1036	252
373	1039	250
374	1041	247
375	1044	244
376	1047	241
377	1050	238
378	1052	236
379	1054	233
380	1057	230
381	1059	227
382	1062	224
383	1065	221
384	1068	219
385	1070	216
386	1073	213
387	1075	210
388	1078	207
389	1082	205
390	1084	202
391	1087	199
392	1089	196
393	1092	194
394	1095	191
395	1097	188
396	1100	185
397	1102	182
398	1105	180
399	1108	177
400	1111	174
401	1113	171
402	1116	168
403	1118	166
404	1121	163
405	1124	160
406	1127	157
407	1130	155
408	1132	152
409	1134	149
410	1137	146
411	1140	143
412	1143	141
413	1146	138
414	1148	135
415	1150	132
416	1153	130
417	1156	127
418	1159	124
419	1161	121
420	1163	118
421	1166	116
422	1169	113
423	1172	110
424	1174	107
425	1177	105
426	1179	102
427	1182	99
428	1184	96
429	1187	93
430	1190	91
431	1192	88
432	1195	85
433	1197	82
434	1200	80
435	1204	77
436	1206	74
437	1209	71
438	1211	69
439	1214	66
440	1217	63
441	1220	60
442	1222	57
443	1225	55
444	1228	52
445	1230	49
446	1234	46
447	1237	44
448	1239	41
449	1241	38
450	1244	35
451	1247	33
452	1250	30
453	1252	27
454	1255	24
455	1257	22
456	1260	19
457	1263	16
458	1266	13
459	1268	11
460	1271	8
461	1273	5
462	1276	2
463	1279	0
