iter	RMSE
0	4.661029212
1	4.481390545
2	4.33080925
3	4.208058278
4	4.058694335
5	3.9340917
6	3.757978411
7	3.607886827
8	3.46202966
9	3.365366838
10	3.303621695
11	3.222088202
12	3.144138196
13	3.047038164
14	2.978189799
15	2.913030249
16	2.866042801
17	2.814687482
18	2.777665822
19	2.720099857
20	2.672289618
21	2.618833338
22	2.550317872
23	2.511554826
24	2.458197204
25	2.400399611
26	2.357214751
27	2.321852272
28	2.287683767
29	2.25805663
30	2.226820746
31	2.198992767
32	2.176345366
33	2.151375675
34	2.12282327
35	2.096502705
36	2.070374145
37	2.055867075
38	2.040071208
39	2.013699972
40	1.987793129
41	1.956485624
42	1.929001724
43	1.90943144
44	1.884856849
45	1.863238
46	1.844179342
47	1.823586879
48	1.802335415
49	1.773324002
50	1.750383954
51	1.738829737
52	1.717817017
53	1.698973474
54	1.683969527
55	1.66684963
56	1.647647065
57	1.62409346
58	1.598908186
59	1.584502188
60	1.567304488
61	1.556078181
62	1.541680321
63	1.519011308
64	1.501068869
65	1.484725392
66	1.476031699
67	1.461074756
68	1.450444658
69	1.441836223
70	1.423176196
71	1.409243458
72	1.39870872
73	1.385647524
74	1.368777186
75	1.351651715
76	1.341767715
77	1.333685755
78	1.326286699
79	1.310315046
80	1.301231657
81	1.286795789
82	1.271566341
83	1.260873618
84	1.254879953
85	1.241659625
86	1.236799188
87	1.228140682
88	1.210358411
89	1.201599709
90	1.192862942
91	1.188898409
92	1.176984335
93	1.165740353
94	1.161069723
95	1.1541784
96	1.150466226
97	1.135175905
98	1.121844569
99	1.112017047
100	1.108674204
101	1.104517337
102	1.094667535
103	1.084335733
104	1.076436052
105	1.067824406
106	1.054547687
107	1.047085204
108	1.038193237
109	1.035088055
110	1.026366779
111	1.018141362
112	1.011413226
113	1.003387484
114	0.9957738742
115	0.9923987663
116	0.9892272845
117	0.9845086087
118	0.977434267
119	0.9743495946
120	0.9678160731
121	0.9550856148
122	0.9450628296
123	0.9348149296
124	0.9257127091
125	0.9168003919
126	0.9095823873
127	0.9013191783
128	0.8954751035
129	0.8906023968
130	0.8827281788
131	0.8747763497
132	0.8723229837
133	0.8661828336
134	0.8636180918
135	0.8577639454
136	0.8531988785
137	0.8460112431
138	0.837694625
139	0.831926766
140	0.8252302995
141	0.8190897645
142	0.8136371125
143	0.8102648906
144	0.8030034915
145	0.7970566962
146	0.7911398611
147	0.7876237312
148	0.7800901955
