iter	RMSE
149	0.7789783977
150	0.7712325579
151	0.7668153089
152	0.7621335406
153	0.7586903851
154	0.7559332382
155	0.7531703387
156	0.7514482783
157	0.7500886039
158	0.7481329885
159	0.7427375684
160	0.7373133639
161	0.7286593316
162	0.7250538933
163	0.7216036811
164	0.7181283776
165	0.7139530553
166	0.7083650375
167	0.7048404195
168	0.7028985174
169	0.6969932497
170	0.6927342244
171	0.6884146058
172	0.6820892881
173	0.6799110265
174	0.6726524653
175	0.6685023835
176	0.6628601005
177	0.6587653048
178	0.6521815664
179	0.6465740953
180	0.64190333
181	0.6392745343
182	0.630549135
183	0.6273460237
184	0.6264261535
185	0.6184677474
186	0.6124562048
187	0.6071055787
188	0.6045189988
189	0.6025214935
190	0.5972036068
191	0.5925386952
192	0.5873390135
193	0.5864538621
194	0.5842152374
195	0.5820369941
196	0.5774439233
197	0.5741176113
198	0.5733209098
199	0.5696379654
200	0.5674237459
201	0.5664015166
202	0.5606262028
203	0.5590569905
204	0.5585356678
205	0.5542533131
206	0.5486062131
207	0.5448129161
208	0.5434666282
209	0.5414019216
210	0.5373420609
211	0.5345948416
212	0.530643252
213	0.5286114172
214	0.5231511359
215	0.5208658097
216	0.5181657733
217	0.5171863082
218	0.515319392
219	0.5143372301
220	0.5119138189
221	0.5084501998
222	0.5068565496
223	0.5049839374
224	0.5007239102
225	0.499212001
226	0.4962391228
227	0.4938506852
228	0.4902983233
229	0.4853408615
230	0.4837404122
231	0.4828028729
232	0.48161246
233	0.4783802422
234	0.4749363698
235	0.4741273356
236	0.4733168601
237	0.4702144313
238	0.4677134052
239	0.4614810146
240	0.459963174
241	0.4590084282
242	0.4551740315
243	0.4544727499
244	0.4510617571
245	0.4494275243
246	0.4457547089
247	0.4450986228
248	0.4436666027
249	0.4387606833
250	0.4338278717
251	0.4303211197
252	0.4292900573
253	0.4286663322
254	0.4275888588
255	0.4256401713
256	0.4219801846
257	0.4200117533
258	0.4176470392
259	0.4137589726
260	0.4104712871
261	0.4096549947
262	0.4067058211
263	0.4052820549
264	0.4043090035
265	0.3998809115
266	0.396351305
267	0.3929424097
268	0.389298377
269	0.387153483
270	0.3847826196
271	0.3841777365
272	0.3836275601
273	0.3829895691
274	0.379167129
275	0.3775577989
276	0.3764334712
277	0.37533428
278	0.3747960769
279	0.3726018036
280	0.370675401
281	0.3690411664
282	0.367045577
283	0.3651738401
284	0.3642797892
285	0.3621101603
286	0.3609079314
287	0.3584783907
288	0.3580522911
289	0.3564632374
290	0.3533050694
291	0.3520857867
292	0.3517555547
293	0.351288049
294	0.3510738605
295	0.3488640182
296	0.3463356635
297	0.3436142966
298	0.3433513212
299	0.3427166943
300	0.3407203546
301	0.3382460471
302	0.3363160078
303	0.3352087929
304	0.334520914
305	0.3335098271
306	0.3326641312
307	0.3300025654
308	0.3282641019
309	0.3279977126
310	0.3262151461
311	0.3226560374
312	0.3212965508
313	0.3210518077
314	0.3197431565
315	0.3172568569
316	0.3151052763
317	0.3146884554
318	0.3141130747
319	0.3125061261
320	0.3117474987
321	0.3115216522
322	0.3095142698
323	0.3084601379
324	0.3078109054
325	0.3073007142
326	0.3063347711
327	0.3045740309
328	0.3042093213
329	0.3019181708
330	0.3015737678
331	0.3005384125
332	0.299415962
333	0.2977893736
334	0.2958065574
335	0.2947695687
336	0.293932112
337	0.2917620627
338	0.2905789951
339	0.2881685186
340	0.2871236508
341	0.2854450369
342	0.2846068696
343	0.2833333803
344	0.2829024061
345	0.2810211524
346	0.2790267059
347	0.278797896
348	0.2781574999
349	0.2760563898
350	0.275396001
351	0.2739146614
352	0.2728901279
353	0.2719984769
354	0.2711220751
355	0.2706258249
356	0.2698823532
357	0.2690138913
358	0.26686221
359	0.2657151167
360	0.2648817076
361	0.2645387189
362	0.2643252836
363	0.2625689378
364	0.261775484
365	0.2604343323
366	0.2586526527
367	0.2565319022
368	0.2546261325
369	0.2532065853
370	0.2525675769
371	0.2505341961
372	0.2487481005
373	0.2480492786
374	0.2471071648
375	0.2464552361
376	0.2458332374
377	0.2454830229
378	0.2442365243
379	0.2435620538
380	0.2424893016
381	0.2419008913
382	0.2396127784
383	0.2386301804
384	0.238448643
385	0.2378370615
386	0.2358847718
387	0.2351195144
388	0.234919741
389	0.2342737017
390	0.2331480771
391	0.23263955
392	0.232124571
393	0.2301719774
394	0.22928966
395	0.2272741631
396	0.2261437044
397	0.2256164368
398	0.2243377087
399	0.2240302967
400	0.2224846799
401	0.2215041693
402	0.2210400636
403	0.2200635542
404	0.2196993701
405	0.2183149681
406	0.2168119021
407	0.2150687865
408	0.2130223995
409	0.2117857458
410	0.2106701706
411	0.2104679449
412	0.209415248
413	0.2083390337
414	0.2077692358
415	0.2064286042
416	0.2060196345
417	0.2047699648
418	0.2041311148
419	0.2035575016
420	0.2021120182
421	0.2017585195
422	0.2013099116
423	0.200779547
424	0.199949615
425	0.1995523125
426	0.1985691156
427	0.1983767819
428	0.1982307684
429	0.1960486146
430	0.1950470765
431	0.1940980792
432	0.1927869429
433	0.1921808889
434	0.1916484259
435	0.1913510631
436	0.1906193241
437	0.1895164578
438	0.1882074924
439	0.1867184829
440	0.1862934656
441	0.1858788776
442	0.1853525918
443	0.1843901704
444	0.1837139177
445	0.183349044
446	0.1823717621
447	0.1820917608
448	0.1810509554
449	0.1801840842
450	0.1796993113
451	0.1791425882
452	0.1785632506
453	0.1771878384
454	0.175961603
455	0.1757601826
456	0.1748281915
457	0.1744459228
458	0.1729811761
459	0.1725488967
460	0.1719106945
461	0.171173747
462	0.1709041167
463	0.1707024915
